,Date_format,IsOfficialReport,Latitude,Longitude,震度,YouWin
561,2020-05-11 20:32:52,1.0,23.65,120.76,3.0,
562,2020-05-11 20:33:27,0.0,23.707,120.385,,1.0
563,2020-05-20 00:50:49,1.0,23.11,120.52,4.0,
564,2020-05-20 00:51:09,0.0,24.147,120.684,,1.0
565,2020-05-20 00:51:09,0.0,,,,1.0
577,2020-05-25 10:09:58,1.0,24.36,121.96,3.0,
584,2020-05-29 03:34:23,1.0,23.65,120.76,4.0,
585,2020-05-29 03:34:50,0.0,24.071,120.542,,1.0
593,2020-05-30 21:02:30,1.0,24.1,121.55,4.0,
594,2020-05-30 21:02:49,0.0,23.981,121.612,,1.0
595,2020-05-30 21:03:33,0.0,24.671,121.159,,1.0
596,2020-05-30 21:05:24,0.0,23.906,120.687,,0.0
600,2020-06-07 09:49:23,1.0,24.13,121.65,4.0,
601,2020-06-07 09:49:55,0.0,23.5,121.0,,1.0
602,2020-06-07 09:52:31,0.0,25.048,121.532,,0.0
604,2020-06-08 10:32:24,1.0,24.27,121.7,3.0,
607,2020-06-11 09:38:26,1.0,24.5,122.4,3.0,
608,2020-06-11 09:39:09,0.0,24.757,121.753,,1.0
609,2020-06-11 09:39:09,0.0,24.757,121.753,,1.0
610,2020-06-11 09:39:09,0.0,,,,1.0
611,2020-06-11 09:39:30,0.0,25.048,121.532,,0.0
612,2020-06-11 09:39:30,0.0,25.048,121.532,,0.0
613,2020-06-11 09:39:31,0.0,25.048,121.532,,0.0
614,2020-06-11 09:39:31,0.0,,,,0.0
615,2020-06-11 09:39:40,0.0,24.757,121.753,,0.0
616,2020-06-11 09:39:45,0.0,25.048,121.532,,0.0
617,2020-06-11 09:39:45,0.0,25.048,121.532,,0.0
618,2020-06-11 09:40:01,0.0,24.807,120.971,,0.0
619,2020-06-11 09:40:03,0.0,25.048,121.532,,0.0
620,2020-06-11 09:40:04,0.0,25.048,121.532,,0.0
621,2020-06-11 09:40:04,0.0,25.048,121.532,,0.0
622,2020-06-11 09:40:12,0.0,25.048,121.532,,0.0
